customer_id,total_transactions,customer_frequency,age,age_range,last_transaction_date,lifespan_months,recency_months,net_quantity_purchased,return_rate_pct,total_discount_received,total_revenue_generated,Customer_spend,average_transaction_value
C000126,1,One-Time-Customer,21,Youth,2021-07-27,0,58,1,0.000000000000,10,97.01000000,Regular Customer,97.01000000
C000127,2,Repeating-Customer,24,Youth,2023-04-25,14,37,6,0.000000000000,0,474.28000000,Regular Customer,237.14000000
C000143,3,Repeating-Customer,28,Youth,2024-03-22,37,26,7,12.500000000000,50,741.92000000,VIP Customer,247.31000000
C000144,3,Repeating-Customer,34,Adults,2024-04-13,35,25,5,0.000000000000,50,536.14000000,VIP Customer,178.71000000
C000149,1,One-Time-Customer,36,Adults,2024-09-21,0,20,1,0.000000000000,0,161.37000000,Regular Customer,161.37000000
C000155,1,One-Time-Customer,30,Adults,2022-09-08,0,44,1,0.000000000000,0,74.48000000,Regular Customer,74.48000000
C000162,1,One-Time-Customer,61,Seniors,2021-06-01,0,59,3,0.000000000000,10,124.12000000,Regular Customer,124.12000000
C000163,1,One-Time-Customer,31,Adults,2022-08-30,0,45,0,100.000000000000,0,0.00000000,Regular Customer,0.00000000
C000168,1,One-Time-Customer,68,Seniors,2024-04-13,0,25,1,0.000000000000,10,165.67000000,Regular Customer,165.67000000
C000180,1,One-Time-Customer,53,Old,2021-11-19,0,54,3,0.000000000000,0,156.24000000,Regular Customer,156.24000000
C000182,2,Repeating-Customer,54,Old,2023-05-19,12,36,4,0.000000000000,10,559.53000000,VIP Customer,279.77000000
C000186,5,Repeating-Customer,17,Youth,2024-08-26,28,21,8,11.111111111111,0,780.78000000,VIP Customer,156.16000000
C000187,2,Repeating-Customer,20,Youth,2023-02-18,10,39,1,50.000000000000,30,198.80000000,Regular Customer,99.40000000
C000190,1,One-Time-Customer,17,Youth,2021-12-20,0,53,3,0.000000000000,0,125.67000000,Regular Customer,125.67000000
C000191,3,Repeating-Customer,21,Youth,2024-02-03,47,27,9,0.000000000000,0,1032.66000000,VIP Customer,344.22000000
C000192,1,One-Time-Customer,40,Adults,2022-04-22,0,49,4,0.000000000000,0,165.44000000,Regular Customer,165.44000000
C000196,2,Repeating-Customer,45,Adults,2022-07-21,5,46,6,0.000000000000,20,720.96000000,VIP Customer,360.48000000
C000197,1,One-Time-Customer,51,Old,2021-09-13,0,56,3,0.000000000000,0,173.94000000,Regular Customer,173.94000000
C000203,1,One-Time-Customer,53,Old,2024-08-23,0,21,2,0.000000000000,20,179.18000000,Regular Customer,179.18000000
C000210,2,Repeating-Customer,40,Adults,2023-01-16,32,40,6,14.285714285714,0,699.32000000,VIP Customer,349.66000000
C000222,1,One-Time-Customer,28,Youth,2023-04-06,0,37,3,0.000000000000,10,90.13000000,Regular Customer,90.13000000
C000226,1,One-Time-Customer,28,Youth,2024-04-08,0,25,4,0.000000000000,10,628.56000000,VIP Customer,628.56000000
C000227,1,One-Time-Customer,17,Youth,2021-12-14,0,53,1,0.000000000000,0,106.11000000,Regular Customer,106.11000000
C000232,2,Repeating-Customer,68,Seniors,2024-05-04,17,24,7,0.000000000000,10,294.31000000,Regular Customer,147.15000000
C000233,1,One-Time-Customer,49,Old,2024-03-09,0,26,2,0.000000000000,0,226.76000000,Regular Customer,226.76000000
C000237,2,Repeating-Customer,29,Youth,2024-06-05,10,23,5,0.000000000000,20,763.93000000,VIP Customer,381.97000000
C000250,1,One-Time-Customer,17,Youth,2023-06-12,0,35,1,0.000000000000,NULL,NULL,Unknown,NULL
C000007,1,One-Time-Customer,52,Old,2022-04-17,0,49,1,0.000000000000,NULL,NULL,Unknown,NULL
C000017,4,Repeating-Customer,27,Youth,2023-07-02,39,34,12,0.000000000000,10,1375.80000000,VIP Customer,343.95000000
C000022,2,Repeating-Customer,23,Youth,2024-12-01,38,17,3,0.000000000000,0,448.63000000,Regular Customer,224.32000000
C000025,2,Repeating-Customer,29,Youth,2024-01-19,33,28,5,0.000000000000,0,585.35000000,VIP Customer,292.68000000
C000026,1,One-Time-Customer,65,Seniors,2020-11-17,0,66,3,0.000000000000,0,259.80000000,Regular Customer,259.80000000
C000028,2,Repeating-Customer,25,Youth,2024-11-21,22,18,5,0.000000000000,30,503.10000000,VIP Customer,251.55000000
C000029,2,Repeating-Customer,51,Old,2023-11-23,28,30,6,14.285714285714,20,680.93000000,VIP Customer,340.46000000
C000030,3,Repeating-Customer,37,Adults,2024-01-22,38,28,7,0.000000000000,20,449.08000000,Regular Customer,149.69000000
C000039,5,Repeating-Customer,67,Seniors,2022-01-01,22,52,8,0.000000000000,50,759.68000000,VIP Customer,151.94000000
C000040,1,One-Time-Customer,54,Old,2023-12-02,0,29,3,25.000000000000,10,367.09000000,Regular Customer,367.09000000
C000047,3,Repeating-Customer,22,Youth,2023-12-30,44,29,8,0.000000000000,0,547.98000000,VIP Customer,182.66000000
C000053,2,Repeating-Customer,35,Adults,2022-04-27,27,49,6,0.000000000000,10,804.19000000,VIP Customer,402.09000000
C000061,1,One-Time-Customer,68,Seniors,2023-12-11,0,29,2,0.000000000000,0,258.22000000,Regular Customer,258.22000000
C000064,1,One-Time-Customer,44,Adults,2022-04-04,0,49,0,100.000000000000,10,0.00000000,Regular Customer,0.00000000
C000077,2,Repeating-Customer,30,Adults,2023-04-25,34,37,4,20.000000000000,0,252.36000000,Regular Customer,126.18000000
C000083,2,Repeating-Customer,22,Youth,2024-02-16,20,27,6,0.000000000000,10,722.95000000,VIP Customer,361.47000000
C000084,2,Repeating-Customer,18,Youth,2022-05-01,12,48,5,0.000000000000,0,227.19000000,Regular Customer,113.60000000
C000123,4,Repeating-Customer,42,Adults,2024-03-26,31,26,6,14.285714285714,10,344.89000000,Regular Customer,86.22000000
C000124,1,One-Time-Customer,45,Adults,2022-11-30,0,42,3,0.000000000000,0,569.22000000,VIP Customer,569.22000000
C000128,3,Repeating-Customer,69,Seniors,2023-04-23,25,37,9,10.000000000000,10,1253.14000000,VIP Customer,417.71000000
C000137,1,One-Time-Customer,60,Old,2020-11-03,0,66,3,0.000000000000,0,204.30000000,Regular Customer,204.30000000
C000140,1,One-Time-Customer,52,Old,2021-09-05,0,56,4,0.000000000000,0,591.88000000,VIP Customer,591.88000000
C000142,3,Repeating-Customer,17,Youth,2024-02-14,33,27,11,0.000000000000,20,345.13000000,Regular Customer,115.04000000
C000146,2,Repeating-Customer,19,Youth,2023-08-27,32,33,6,0.000000000000,20,728.62000000,VIP Customer,364.31000000
C000160,2,Repeating-Customer,55,Old,2022-04-18,17,49,5,0.000000000000,0,640.91000000,VIP Customer,320.46000000
C000161,3,Repeating-Customer,46,Old,2024-12-18,38,17,10,0.000000000000,20,972.23000000,VIP Customer,324.08000000
C000166,2,Repeating-Customer,19,Youth,2024-08-24,34,21,4,0.000000000000,20,270.65000000,Regular Customer,135.32000000
C000169,3,Repeating-Customer,35,Adults,2022-12-28,18,41,6,14.285714285714,20,710.07000000,VIP Customer,236.69000000
C000177,2,Repeating-Customer,58,Old,2024-08-21,45,21,5,0.000000000000,20,535.75000000,VIP Customer,267.87000000
C000183,3,Repeating-Customer,23,Youth,2021-09-06,19,56,8,0.000000000000,30,417.38000000,Regular Customer,139.13000000
C000184,3,Repeating-Customer,68,Seniors,2024-03-16,27,26,9,0.000000000000,30,658.42000000,VIP Customer,219.47000000
C000188,3,Repeating-Customer,63,Seniors,2024-03-31,48,26,7,0.000000000000,0,549.95000000,VIP Customer,183.32000000
C000189,1,One-Time-Customer,46,Old,2022-03-16,0,50,2,0.000000000000,0,157.00000000,Regular Customer,157.00000000
C000193,1,One-Time-Customer,52,Old,2020-01-22,0,76,3,0.000000000000,20,79.58000000,Regular Customer,79.58000000
C000198,1,One-Time-Customer,66,Seniors,2023-08-18,0,33,3,0.000000000000,0,189.72000000,Regular Customer,189.72000000
C000201,3,Repeating-Customer,32,Adults,2024-11-13,44,18,7,0.000000000000,10,804.28000000,VIP Customer,268.09000000
C000204,3,Repeating-Customer,60,Old,2024-10-09,41,19,7,12.500000000000,20,949.74000000,VIP Customer,316.58000000
C000206,1,One-Time-Customer,46,Old,2023-07-12,0,34,3,0.000000000000,0,512.88000000,VIP Customer,512.88000000
C000212,2,Repeating-Customer,65,Seniors,2022-06-21,3,47,3,0.000000000000,10,432.64000000,Regular Customer,216.32000000
C000215,1,One-Time-Customer,40,Adults,2021-05-07,0,60,2,0.000000000000,0,237.00000000,Regular Customer,237.00000000
C000218,5,Repeating-Customer,27,Youth,2024-09-11,56,20,12,0.000000000000,0,840.83000000,VIP Customer,168.17000000
C000219,2,Repeating-Customer,65,Seniors,2024-07-19,5,22,7,12.500000000000,10,435.10000000,Regular Customer,217.55000000
C000223,1,One-Time-Customer,24,Youth,2021-04-08,0,61,4,0.000000000000,0,775.20000000,VIP Customer,775.20000000
C000224,2,Repeating-Customer,45,Adults,2023-05-03,40,36,6,0.000000000000,0,637.41000000,VIP Customer,318.71000000
C000231,1,One-Time-Customer,64,Seniors,2022-11-28,0,42,1,0.000000000000,20,23.56000000,Regular Customer,23.56000000
C000234,4,Repeating-Customer,29,Youth,2022-09-09,26,44,8,20.000000000000,30,1292.73000000,VIP Customer,323.18000000
C000236,2,Repeating-Customer,52,Old,2024-11-20,7,18,5,0.000000000000,0,356.14000000,Regular Customer,178.07000000
C000247,1,One-Time-Customer,23,Youth,2024-07-25,0,22,2,0.000000000000,0,145.86000000,Regular Customer,145.86000000
C000251,3,Repeating-Customer,59,Old,2022-10-29,33,43,9,0.000000000000,50,776.92000000,VIP Customer,258.97000000
C000252,3,Repeating-Customer,60,Old,2024-08-25,17,21,5,0.000000000000,10,939.96000000,VIP Customer,313.32000000
C000255,5,Repeating-Customer,47,Old,2024-09-11,51,20,13,13.333333333333,30,847.90000000,VIP Customer,169.58000000
C000258,4,Repeating-Customer,60,Old,2024-08-11,31,21,8,20.000000000000,40,486.42000000,Regular Customer,121.61000000
C000263,1,One-Time-Customer,33,Adults,2024-08-30,0,21,3,25.000000000000,10,83.05000000,Regular Customer,83.05000000
C000264,1,One-Time-Customer,48,Old,2022-02-01,0,51,4,0.000000000000,20,602.82000000,VIP Customer,602.82000000
C000002,2,Repeating-Customer,61,Seniors,2024-05-02,6,24,6,14.285714285714,0,772.62000000,VIP Customer,386.31000000
C000003,4,Repeating-Customer,22,Youth,2024-02-19,24,27,6,0.000000000000,30,615.91000000,VIP Customer,153.98000000
C000010,2,Repeating-Customer,48,Old,2024-11-29,53,18,3,0.000000000000,20,434.78000000,Regular Customer,217.39000000
C000014,2,Repeating-Customer,45,Adults,2024-02-19,19,27,5,0.000000000000,0,402.23000000,Regular Customer,201.12000000
C000021,2,Repeating-Customer,62,Seniors,2024-01-12,18,28,5,0.000000000000,10,707.78000000,VIP Customer,353.89000000
C000031,4,Repeating-Customer,31,Adults,2023-09-12,44,32,11,0.000000000000,30,998.41000000,VIP Customer,249.60000000
C000032,3,Repeating-Customer,36,Adults,2022-06-14,14,47,5,0.000000000000,30,317.88000000,Regular Customer,105.96000000
C000036,2,Repeating-Customer,54,Old,2023-04-16,26,37,5,0.000000000000,20,600.08000000,VIP Customer,300.04000000
C000037,1,One-Time-Customer,50,Old,2021-03-11,0,62,1,0.000000000000,0,100.73000000,Regular Customer,100.73000000
C000043,5,Repeating-Customer,55,Old,2024-12-05,47,17,11,0.000000000000,10,757.31000000,VIP Customer,151.46000000
C000050,1,One-Time-Customer,29,Youth,2024-06-16,0,23,1,0.000000000000,0,25.21000000,Regular Customer,25.21000000
C000054,3,Repeating-Customer,43,Adults,2023-10-25,40,31,7,0.000000000000,20,956.56000000,VIP Customer,318.85000000
C000068,2,Repeating-Customer,56,Old,2024-10-30,2,19,3,0.000000000000,50,383.95000000,Regular Customer,191.97000000
C000069,3,Repeating-Customer,59,Old,2023-10-29,31,31,7,12.500000000000,40,380.82000000,Regular Customer,126.94000000
C000070,1,One-Time-Customer,33,Adults,2024-09-25,0,20,3,0.000000000000,0,347.19000000,Regular Customer,347.19000000
C000073,4,Repeating-Customer,67,Seniors,2024-12-18,35,17,5,16.666666666666,40,662.55000000,VIP Customer,165.64000000
C000074,1,One-Time-Customer,54,Old,2021-11-29,0,54,3,0.000000000000,30,172.70000000,Regular Customer,172.70000000
C000085,4,Repeating-Customer,28,Youth,2024-04-07,51,25,7,0.000000000000,0,698.70000000,VIP Customer,174.68000000
C000088,2,Repeating-Customer,69,Seniors,2023-12-05,40,29,6,0.000000000000,20,578.26000000,VIP Customer,289.13000000
C000092,2,Repeating-Customer,59,Old,2023-11-14,26,30,7,0.000000000000,0,377.20000000,Regular Customer,188.60000000
C000093,1,One-Time-Customer,19,Youth,2021-08-24,0,57,4,0.000000000000,0,531.24000000,VIP Customer,531.24000000
C000097,2,Repeating-Customer,22,Youth,2023-06-13,5,35,8,0.000000000000,30,370.64000000,Regular Customer,185.32000000
C000100,4,Repeating-Customer,26,Youth,2023-05-27,17,36,8,0.000000000000,50,1024.00000000,VIP Customer,256.00000000
C000101,2,Repeating-Customer,45,Adults,2023-12-03,20,29,5,0.000000000000,20,553.42000000,VIP Customer,276.71000000
C000102,1,One-Time-Customer,20,Youth,2022-10-08,0,43,4,0.000000000000,0,385.08000000,Regular Customer,385.08000000
C000106,1,One-Time-Customer,18,Youth,2023-07-12,0,34,4,0.000000000000,0,394.20000000,Regular Customer,394.20000000
C000107,3,Repeating-Customer,43,Adults,2023-07-11,34,34,6,0.000000000000,0,676.60000000,VIP Customer,225.53000000
C000110,2,Repeating-Customer,55,Old,2021-01-12,8,64,7,0.000000000000,10,938.27000000,VIP Customer,469.13000000
C000111,1,One-Time-Customer,33,Adults,2024-05-23,0,24,2,33.333333333333,0,157.78000000,Regular Customer,157.78000000
C000116,2,Repeating-Customer,39,Adults,2021-12-06,12,53,3,0.000000000000,10,401.59000000,Regular Customer,200.80000000
C000125,3,Repeating-Customer,62,Seniors,2024-05-25,38,24,5,16.666666666666,10,722.42000000,VIP Customer,240.81000000
C000133,1,One-Time-Customer,28,Youth,2021-07-10,0,58,4,0.000000000000,0,165.28000000,Regular Customer,165.28000000
C000134,1,One-Time-Customer,25,Youth,2023-01-12,0,40,2,0.000000000000,10,130.84000000,Regular Customer,130.84000000
C000138,3,Repeating-Customer,30,Adults,2021-06-03,14,59,7,12.500000000000,10,151.99000000,Regular Customer,50.66000000
C000139,2,Repeating-Customer,40,Adults,2022-12-20,18,41,8,0.000000000000,10,298.10000000,Regular Customer,149.05000000
C000150,2,Repeating-Customer,46,Old,2023-06-19,20,35,2,0.000000000000,0,296.82000000,Regular Customer,148.41000000
C000151,2,Repeating-Customer,38,Adults,2024-05-26,37,24,5,0.000000000000,10,594.17000000,VIP Customer,297.09000000
C000152,1,One-Time-Customer,44,Adults,2020-11-08,0,66,3,0.000000000000,10,411.91000000,Regular Customer,411.91000000
C000156,3,Repeating-Customer,58,Old,2023-04-12,31,37,5,16.666666666666,50,642.30000000,VIP Customer,214.10000000
C000157,2,Repeating-Customer,18,Youth,2023-03-26,32,38,3,0.000000000000,20,246.96000000,Regular Customer,123.48000000
C000165,5,Repeating-Customer,64,Seniors,2024-09-04,44,20,12,0.000000000000,60,860.38000000,VIP Customer,172.08000000
C000173,1,One-Time-Customer,30,Adults,2021-01-08,0,64,4,0.000000000000,0,708.32000000,VIP Customer,708.32000000
C000174,2,Repeating-Customer,43,Adults,2022-06-29,10,47,5,16.666666666666,20,404.40000000,Regular Customer,202.20000000
C000178,2,Repeating-Customer,58,Old,2024-12-14,32,17,4,0.000000000000,30,96.20000000,Regular Customer,48.10000000
C000179,2,Repeating-Customer,44,Adults,2022-09-07,6,44,5,0.000000000000,0,215.02000000,Regular Customer,107.51000000
C000185,2,Repeating-Customer,48,Old,2024-02-21,34,27,4,0.000000000000,0,318.63000000,Regular Customer,159.32000000
C000194,1,One-Time-Customer,61,Seniors,2021-08-13,0,57,4,0.000000000000,30,93.72000000,Regular Customer,93.72000000
C000199,2,Repeating-Customer,41,Adults,2023-01-15,24,40,5,16.666666666666,0,436.37000000,Regular Customer,218.19000000
C000205,1,One-Time-Customer,49,Old,2023-12-13,0,29,4,0.000000000000,NULL,NULL,Unknown,NULL
C000208,3,Repeating-Customer,52,Old,2024-03-24,45,26,8,0.000000000000,20,337.47000000,Regular Customer,112.49000000
C000209,3,Repeating-Customer,36,Adults,2024-06-20,24,23,10,0.000000000000,10,1205.16000000,VIP Customer,401.72000000
C000211,2,Repeating-Customer,66,Seniors,2023-07-28,16,34,4,0.000000000000,10,275.09000000,Regular Customer,137.55000000
C000225,3,Repeating-Customer,46,Old,2024-12-26,50,17,9,0.000000000000,0,1034.92000000,VIP Customer,344.97000000
C000228,1,One-Time-Customer,17,Youth,2022-11-23,0,42,2,0.000000000000,0,86.14000000,Regular Customer,86.14000000
C000001,2,Repeating-Customer,61,Seniors,2024-04-14,48,25,5,16.666666666666,0,450.44000000,Regular Customer,225.22000000
C000004,3,Repeating-Customer,46,Old,2024-02-20,13,27,7,22.222222222222,10,540.50000000,VIP Customer,180.17000000
C000011,1,One-Time-Customer,20,Youth,2020-10-28,0,67,3,0.000000000000,0,176.40000000,Regular Customer,176.40000000
C000012,2,Repeating-Customer,32,Adults,2023-06-21,23,35,6,0.000000000000,10,488.50000000,Regular Customer,244.25000000
C000016,3,Repeating-Customer,23,Youth,2023-07-13,36,34,10,0.000000000000,20,1408.59000000,VIP Customer,469.53000000
C000018,2,Repeating-Customer,63,Seniors,2021-07-07,9,58,2,33.333333333333,0,183.22000000,Regular Customer,91.61000000
C000027,4,Repeating-Customer,36,Adults,2022-10-12,33,43,13,0.000000000000,10,1167.48000000,VIP Customer,291.87000000
C000033,3,Repeating-Customer,39,Adults,2024-08-08,50,21,8,11.111111111111,10,462.68000000,Regular Customer,154.23000000
C000034,6,Repeating-Customer,26,Youth,2024-03-06,46,26,17,0.000000000000,60,2264.06000000,VIP Customer,377.34000000
C000041,2,Repeating-Customer,21,Youth,2023-10-11,40,31,6,0.000000000000,0,579.42000000,VIP Customer,289.71000000
C000042,3,Repeating-Customer,52,Old,2022-02-09,11,51,6,0.000000000000,0,880.99000000,VIP Customer,293.66000000
C000044,1,One-Time-Customer,35,Adults,2020-07-30,0,70,3,0.000000000000,0,130.86000000,Regular Customer,130.86000000
C000045,2,Repeating-Customer,51,Old,2023-05-01,27,36,4,0.000000000000,0,289.40000000,Regular Customer,144.70000000
C000046,1,One-Time-Customer,64,Seniors,2023-12-08,0,29,4,0.000000000000,20,216.38000000,Regular Customer,216.38000000
C000058,1,One-Time-Customer,59,Old,2024-06-11,0,23,4,0.000000000000,10,245.56000000,Regular Customer,245.56000000
C000059,2,Repeating-Customer,68,Seniors,2024-12-17,34,17,3,0.000000000000,0,345.60000000,Regular Customer,172.80000000
C000060,1,One-Time-Customer,52,Old,2022-02-17,0,51,4,0.000000000000,0,161.20000000,Regular Customer,161.20000000
C000071,4,Repeating-Customer,64,Seniors,2024-09-30,46,20,10,0.000000000000,10,1048.82000000,VIP Customer,262.21000000
C000075,1,One-Time-Customer,36,Adults,2021-06-22,0,59,4,0.000000000000,0,195.00000000,Regular Customer,195.00000000
C000076,2,Repeating-Customer,47,Old,2023-10-28,13,31,2,33.333333333333,50,132.13000000,Regular Customer,66.07000000
C000078,1,One-Time-Customer,35,Adults,2022-03-08,0,50,4,0.000000000000,0,319.32000000,Regular Customer,319.32000000
C000080,2,Repeating-Customer,18,Youth,2024-01-17,38,28,8,0.000000000000,0,1099.00000000,VIP Customer,549.50000000
C000091,5,Repeating-Customer,47,Old,2023-11-01,21,30,11,0.000000000000,30,1118.42000000,VIP Customer,223.68000000
C000094,2,Repeating-Customer,16,Youth,2024-12-30,16,17,4,20.000000000000,20,437.14000000,Regular Customer,218.57000000
C000103,1,One-Time-Customer,23,Youth,2023-04-10,0,37,1,50.000000000000,0,23.52000000,Regular Customer,23.52000000
C000104,1,One-Time-Customer,48,Old,2024-08-19,0,21,2,0.000000000000,0,374.20000000,Regular Customer,374.20000000
C000108,2,Repeating-Customer,20,Youth,2023-12-24,17,29,2,0.000000000000,30,217.47000000,Regular Customer,108.73000000
C000113,1,One-Time-Customer,38,Adults,2020-12-04,0,65,2,0.000000000000,10,303.44000000,Regular Customer,303.44000000
C000114,4,Repeating-Customer,39,Adults,2024-06-17,51,23,7,12.500000000000,10,719.60000000,VIP Customer,179.90000000
C000118,1,One-Time-Customer,62,Seniors,2020-08-25,0,69,3,0.000000000000,0,348.18000000,Regular Customer,348.18000000
C000119,2,Repeating-Customer,37,Adults,2024-05-23,7,24,4,20.000000000000,30,190.62000000,Regular Customer,95.31000000
C000130,2,Repeating-Customer,59,Old,2021-10-31,8,55,5,16.666666666666,0,165.54000000,Regular Customer,82.77000000
C000131,3,Repeating-Customer,65,Seniors,2023-06-22,40,35,10,0.000000000000,10,1381.21000000,VIP Customer,460.40000000
C000132,1,One-Time-Customer,37,Adults,2020-12-03,0,65,2,33.333333333333,0,125.96000000,Regular Customer,125.96000000
C000136,5,Repeating-Customer,38,Adults,2024-04-08,36,25,10,0.000000000000,20,839.45000000,VIP Customer,167.89000000
C000147,4,Repeating-Customer,55,Old,2023-09-18,35,32,9,0.000000000000,10,506.34000000,VIP Customer,126.58000000
C000153,6,Repeating-Customer,68,Seniors,2024-08-26,35,21,16,5.882352941176,40,815.31000000,VIP Customer,135.88000000
C000154,3,Repeating-Customer,43,Adults,2024-07-24,4,22,8,0.000000000000,50,484.74000000,Regular Customer,161.58000000
C000158,1,One-Time-Customer,58,Old,2024-12-21,0,17,3,0.000000000000,0,82.44000000,Regular Customer,82.44000000
C000159,3,Repeating-Customer,18,Youth,2024-06-20,36,23,9,0.000000000000,0,501.38000000,VIP Customer,167.13000000
C000167,3,Repeating-Customer,63,Seniors,2023-03-17,37,38,4,20.000000000000,20,356.35000000,Regular Customer,118.78000000
C000171,3,Repeating-Customer,60,Old,2023-03-29,20,38,7,0.000000000000,20,462.32000000,Regular Customer,154.11000000
C000175,2,Repeating-Customer,31,Adults,2024-03-11,11,26,3,40.000000000000,20,204.74000000,Regular Customer,102.37000000
C000176,3,Repeating-Customer,69,Seniors,2024-08-23,30,21,6,14.285714285714,10,521.55000000,VIP Customer,173.85000000
C000195,1,One-Time-Customer,21,Youth,2020-10-13,0,67,4,0.000000000000,NULL,NULL,Unknown,NULL
C000200,4,Repeating-Customer,26,Youth,2021-09-22,18,56,11,0.000000000000,30,916.00000000,VIP Customer,229.00000000
C000207,3,Repeating-Customer,30,Adults,2024-08-11,41,21,7,0.000000000000,20,899.32000000,VIP Customer,299.77000000
C000213,2,Repeating-Customer,53,Old,2024-11-07,25,18,6,0.000000000000,10,665.52000000,VIP Customer,332.76000000
C000217,2,Repeating-Customer,20,Youth,2024-11-17,13,18,5,0.000000000000,30,152.93000000,Regular Customer,76.47000000
C000230,2,Repeating-Customer,61,Seniors,2023-04-18,24,37,2,33.333333333333,0,259.79000000,Regular Customer,129.90000000
C000241,2,Repeating-Customer,24,Youth,2024-07-10,31,22,8,0.000000000000,20,825.00000000,VIP Customer,412.50000000
C000242,2,Repeating-Customer,61,Seniors,2023-03-23,15,38,7,0.000000000000,0,631.92000000,VIP Customer,315.96000000
C000245,1,One-Time-Customer,67,Seniors,2021-10-27,0,55,2,0.000000000000,10,309.83000000,Regular Customer,309.83000000
C000246,1,One-Time-Customer,52,Old,2024-02-23,0,27,4,0.000000000000,0,451.40000000,Regular Customer,451.40000000
C000273,5,Repeating-Customer,23,Youth,2022-01-26,19,52,8,11.111111111111,30,695.56000000,VIP Customer,139.11000000
C000280,3,Repeating-Customer,66,Seniors,2023-12-03,36,29,8,11.111111111111,20,602.84000000,VIP Customer,200.95000000
C000287,3,Repeating-Customer,59,Old,2024-06-18,53,23,4,20.000000000000,0,205.11000000,Regular Customer,68.37000000
C000294,2,Repeating-Customer,34,Adults,2023-08-08,36,33,3,0.000000000000,0,281.61000000,Regular Customer,140.81000000
C000296,4,Repeating-Customer,30,Adults,2021-12-19,15,53,10,9.090909090909,50,1035.37000000,VIP Customer,258.84000000
C000300,2,Repeating-Customer,17,Youth,2021-05-20,12,60,4,0.000000000000,10,500.62000000,VIP Customer,250.31000000
C000301,4,Repeating-Customer,33,Adults,2024-06-26,15,23,6,14.285714285714,0,164.92000000,Regular Customer,41.23000000
