product_id,category,supplier,season,region,store_name,total_customers,total_units_sold,net_quantity_sold,gross_revenue,Cost_Of_Goods_Sold,net_revenue,profit,return_rate,total_transactions,total_discount_received,avg_selling_price,last_sale_date,lifespan_months
25,Dresses,B,Spring,Lisbon Metropolitan Area,Lisbon Flagship,1,1,1,186.69,44.01,168.02000000,124.01,0.000000000000,1,10,168.02000000,2020-03-19,0
25,Dresses,B,Spring,Northern Portugal,Porto Center,1,3,3,560.07,132.03,560.07000000,428.04,0.000000000000,1,0,186.69000000,2023-01-05,0
29,Bottoms,D,Fall,Central Portugal,Coimbra Boutique,1,1,1,43.80,64.17,43.80000000,-20.37,0.000000000000,1,0,43.80000000,2021-07-06,0
30,Bottoms,D,Fall,Algarve,Faro Outlet,1,3,3,550.05,79.02,550.05000000,471.03,0.000000000000,1,0,183.35000000,2024-06-04,0
31,Tops,D,Winter,Algarve,Faro Outlet,1,1,1,123.27,74.45,123.27000000,48.82,0.000000000000,1,0,123.27000000,2024-03-26,0
31,Tops,D,Winter,Northern Portugal,Porto Center,1,2,2,246.54,148.90,246.54000000,97.64,0.000000000000,1,0,123.27000000,2021-03-19,0
35,Tops,C,Summer,Northern Portugal,Porto Center,1,3,3,31.14,91.98,31.14000000,-60.84,0.000000000000,1,0,10.38000000,2024-11-09,0
36,Accessories,C,Fall,Northern Portugal,Porto Center,2,4,3,118.40,68.01,85.84000000,17.83,25.000000000000,2,10,28.61000000,2022-09-28,25
39,Dresses,C,Spring,Algarve,Faro Outlet,1,2,2,61.42,89.58,55.28000000,-34.30,0.000000000000,1,10,27.64000000,2021-08-15,0
40,Shoes,A,Spring,Algarve,Faro Outlet,1,4,4,507.72,78.28,406.18000000,327.90,0.000000000000,1,20,101.54000000,2021-06-18,0
41,Bottoms,D,Winter,Online,Online,1,3,3,418.92,219.99,NULL,NULL,0.000000000000,1,NULL,NULL,2020-06-13,0
42,Dresses,A,Winter,Lisbon Metropolitan Area,Lisbon Flagship,1,1,1,33.21,78.89,33.21000000,-45.68,0.000000000000,1,0,33.21000000,2024-02-23,0
44,Shoes,C,Summer,Online,Online,2,3,2,384.27,41.78,256.18000000,214.40,33.330000000000,2,0,128.09000000,2024-09-07,11
45,Shoes,D,Fall,Online,Online,1,4,4,277.48,212.36,277.48000000,65.12,0.000000000000,1,0,69.37000000,2020-01-03,0
46,Dresses,C,Summer,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,411.36,248.28,287.95000000,39.67,0.000000000000,1,30,71.99000000,2024-12-23,0
46,Dresses,C,Summer,Northern Portugal,Porto Center,1,2,2,205.68,124.14,205.68000000,81.54,0.000000000000,1,0,102.84000000,2021-06-30,0
48,Accessories,D,Spring,Algarve,Faro Outlet,1,3,3,436.89,50.19,436.89000000,386.70,0.000000000000,1,0,145.63000000,2020-11-01,0
48,Accessories,D,Spring,Northern Portugal,Porto Center,1,4,4,582.52,66.92,524.27000000,457.35,0.000000000000,1,10,131.07000000,2022-01-19,0
49,Shoes,A,Spring,Lisbon Metropolitan Area,Lisbon Flagship,1,2,1,298.32,26.25,149.16000000,122.91,50.000000000000,1,0,149.16000000,2022-12-11,0
49,Shoes,A,Spring,Online,Online,1,2,2,298.32,52.50,298.32000000,245.82,0.000000000000,1,0,149.16000000,2023-12-11,0
50,Bottoms,C,Winter,Central Portugal,Coimbra Boutique,1,2,2,225.60,122.84,225.60000000,102.76,0.000000000000,1,0,112.80000000,2021-03-22,0
50,Bottoms,C,Winter,Lisbon Metropolitan Area,Lisbon Flagship,1,1,1,112.80,61.42,112.80000000,51.38,0.000000000000,1,0,112.80000000,2020-08-01,0
51,Bottoms,A,Fall,Central Portugal,Coimbra Boutique,1,2,2,262.78,37.14,236.50000000,199.36,0.000000000000,1,10,118.25000000,2022-08-10,0
51,Bottoms,A,Fall,Northern Portugal,Porto Center,1,1,1,131.39,18.57,105.11000000,86.54,0.000000000000,1,20,105.11000000,2023-09-29,0
52,Bottoms,D,Winter,Algarve,Faro Outlet,0,2,2,125.30,15.00,125.30000000,110.30,0.000000000000,1,0,62.65000000,2020-04-04,0
52,Bottoms,D,Winter,Northern Portugal,Porto Center,1,4,4,250.60,30.00,200.48000000,170.48,0.000000000000,1,20,50.12000000,2021-01-17,0
52,Bottoms,D,Winter,Online,Online,1,3,2,187.95,15.00,112.77000000,97.77,33.330000000000,1,10,56.39000000,2023-11-26,0
53,Bottoms,C,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,1,1,54.53,12.96,NULL,NULL,0.000000000000,1,NULL,NULL,2023-10-22,0
55,Tops,C,Summer,Online,Online,0,4,4,317.80,293.96,286.02000000,-7.94,0.000000000000,1,10,71.51000000,2022-06-29,0
56,Dresses,C,Fall,Central Portugal,Coimbra Boutique,3,7,7,1128.89,497.00,999.87000000,502.87,0.000000000000,3,40,142.84000000,2021-07-24,9
57,Bottoms,C,Summer,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,126.12,179.96,126.12000000,-53.84,0.000000000000,1,0,31.53000000,2022-03-03,0
59,Bottoms,A,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,1,0,127.53,0.00,0.00000000,0.00,100.000000000000,1,10,NULL,2020-12-29,0
59,Bottoms,A,Fall,Online,Online,1,1,1,127.53,32.08,114.78000000,82.70,0.000000000000,1,10,114.78000000,2024-03-09,0
60,Shoes,C,Summer,Central Portugal,Coimbra Boutique,1,1,1,32.16,77.17,32.16000000,-45.01,0.000000000000,1,0,32.16000000,2021-01-23,0
62,Bottoms,D,Fall,Algarve,Faro Outlet,1,2,2,298.76,103.16,298.76000000,195.60,0.000000000000,1,0,149.38000000,2023-11-09,0
62,Bottoms,D,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,1,1,149.38,51.58,149.38000000,97.80,0.000000000000,1,0,149.38000000,2023-04-04,0
70,Bottoms,D,Spring,Online,Online,1,4,4,750.08,147.24,600.06000000,452.82,0.000000000000,1,20,150.02000000,2021-12-25,0
72,Accessories,C,Summer,Algarve,Faro Outlet,2,4,4,352.76,140.44,352.76000000,212.32,0.000000000000,2,0,88.19000000,2024-07-13,9
72,Accessories,C,Summer,Central Portugal,Coimbra Boutique,1,2,2,176.38,70.22,176.38000000,106.16,0.000000000000,1,0,88.19000000,2023-09-20,0
73,Accessories,D,Spring,Northern Portugal,Porto Center,1,3,3,524.88,169.80,367.42000000,197.62,0.000000000000,1,30,122.47000000,2024-08-24,0
74,Shoes,D,Spring,Algarve,Faro Outlet,1,1,1,107.02,54.93,107.02000000,52.09,0.000000000000,1,0,107.02000000,2023-06-30,0
74,Shoes,D,Spring,Online,Online,1,1,1,107.02,54.93,107.02000000,52.09,0.000000000000,1,0,107.02000000,2024-10-31,0
75,Accessories,A,Summer,Northern Portugal,Porto Center,1,4,4,263.32,301.12,263.32000000,-37.80,0.000000000000,1,0,65.83000000,2020-10-07,0
76,Shoes,B,Spring,Northern Portugal,Porto Center,1,3,3,497.97,54.84,398.38000000,343.54,0.000000000000,1,20,132.79000000,2023-01-20,0
77,Dresses,C,Spring,Algarve,Faro Outlet,2,4,4,515.60,74.76,502.71000000,427.95,0.000000000000,2,10,125.68000000,2023-09-01,25
77,Dresses,C,Spring,Northern Portugal,Porto Center,1,3,2,386.70,37.38,257.80000000,220.42,33.330000000000,1,0,128.90000000,2023-05-24,0
78,Bottoms,C,Summer,Algarve,Faro Outlet,1,1,1,197.41,26.94,NULL,NULL,0.000000000000,1,NULL,NULL,2021-10-19,0
79,Bottoms,D,Winter,Algarve,Faro Outlet,1,4,4,667.00,244.48,667.00000000,422.52,0.000000000000,1,0,166.75000000,2021-08-09,0
79,Bottoms,D,Winter,Central Portugal,Coimbra Boutique,1,4,4,667.00,244.48,667.00000000,422.52,0.000000000000,1,0,166.75000000,2023-02-13,0
80,Bottoms,D,Fall,Algarve,Faro Outlet,2,3,3,204.06,129.57,204.06000000,74.49,0.000000000000,2,0,68.02000000,2022-09-22,15
80,Bottoms,D,Fall,Northern Portugal,Porto Center,1,1,1,68.02,43.19,68.02000000,24.83,0.000000000000,1,0,68.02000000,2021-06-14,0
81,Accessories,C,Winter,Northern Portugal,Porto Center,1,2,2,24.74,87.16,24.74000000,-62.42,0.000000000000,1,0,12.37000000,2023-04-25,0
83,Accessories,D,Summer,Online,Online,1,3,3,570.15,202.71,513.14000000,310.43,0.000000000000,1,10,171.05000000,2022-07-06,0
84,Accessories,D,Summer,Online,Online,1,4,4,485.28,180.52,485.28000000,304.76,0.000000000000,1,0,121.32000000,2020-01-06,0
85,Dresses,D,Summer,Algarve,Faro Outlet,1,2,2,95.26,10.22,95.26000000,85.04,0.000000000000,1,0,47.63000000,2024-09-19,0
86,Dresses,A,Fall,Algarve,Faro Outlet,2,7,7,893.55,212.59,893.55000000,680.96,0.000000000000,2,0,127.65000000,2023-12-20,15
86,Dresses,A,Fall,Northern Portugal,Porto Center,1,1,1,127.65,30.37,102.12000000,71.75,0.000000000000,1,20,102.12000000,2020-04-18,0
86,Dresses,A,Fall,Online,Online,1,4,4,510.60,121.48,510.60000000,389.12,0.000000000000,1,0,127.65000000,2023-04-08,0
87,Dresses,B,Winter,Central Portugal,Coimbra Boutique,1,4,4,552.28,68.44,552.28000000,483.84,0.000000000000,1,0,138.07000000,2024-02-18,0
88,Dresses,B,Winter,Lisbon Metropolitan Area,Lisbon Flagship,1,2,2,187.82,108.78,169.04000000,60.26,0.000000000000,1,10,84.52000000,2024-03-19,0
90,Tops,C,Spring,Central Portugal,Coimbra Boutique,1,2,1,280.12,6.35,NULL,NULL,50.000000000000,1,NULL,NULL,2020-03-07,0
90,Tops,C,Spring,Northern Portugal,Porto Center,1,1,1,140.06,6.35,140.06000000,133.71,0.000000000000,1,0,140.06000000,2024-12-25,0
90,Tops,C,Spring,Online,Online,1,2,2,280.12,12.70,280.12000000,267.42,0.000000000000,1,0,140.06000000,2021-06-13,0
92,Dresses,B,Summer,Central Portugal,Coimbra Boutique,1,3,3,499.83,206.46,499.83000000,293.37,0.000000000000,1,0,166.61000000,2022-07-09,0
92,Dresses,B,Summer,Northern Portugal,Porto Center,1,1,1,166.61,68.82,149.95000000,81.13,0.000000000000,1,10,149.95000000,2020-02-05,0
93,Tops,A,Winter,Northern Portugal,Porto Center,1,1,1,116.06,69.26,116.06000000,46.80,0.000000000000,1,0,116.06000000,2022-08-29,0
95,Dresses,A,Fall,Lisbon Metropolitan Area,Lisbon Flagship,3,7,6,575.19,367.86,443.72000000,75.86,14.290000000000,3,30,73.95000000,2024-04-26,34
98,Shoes,A,Summer,Algarve,Faro Outlet,1,4,4,349.52,96.20,314.57000000,218.37,0.000000000000,1,10,78.64000000,2023-12-30,0
98,Shoes,A,Summer,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,349.52,96.20,314.57000000,218.37,0.000000000000,1,10,78.64000000,2024-06-24,0
98,Shoes,A,Summer,Online,Online,1,2,2,174.76,48.10,174.76000000,126.66,0.000000000000,1,0,87.38000000,2020-12-12,0
99,Shoes,B,Summer,Central Portugal,Coimbra Boutique,2,7,7,94.99,40.04,81.42000000,41.38,0.000000000000,2,30,11.63000000,2020-06-29,4
99,Shoes,B,Summer,Online,Online,0,4,4,54.28,22.88,48.85000000,25.97,0.000000000000,1,10,12.21000000,2020-01-18,0
100,Dresses,B,Summer,Northern Portugal,Porto Center,1,1,1,24.27,13.74,NULL,NULL,0.000000000000,1,NULL,NULL,2022-12-22,0
101,Bottoms,A,Winter,Northern Portugal,Porto Center,1,4,4,547.68,172.16,383.38000000,211.22,0.000000000000,1,30,95.84000000,2020-09-23,0
102,Dresses,C,Winter,Lisbon Metropolitan Area,Lisbon Flagship,1,2,2,76.52,59.46,68.87000000,9.41,0.000000000000,1,10,34.43000000,2021-05-30,0
104,Shoes,B,Winter,Online,Online,1,2,2,141.90,89.82,141.90000000,52.08,0.000000000000,1,0,70.95000000,2022-10-29,0
105,Dresses,A,Spring,Central Portugal,Coimbra Boutique,1,2,2,265.70,97.86,185.99000000,88.13,0.000000000000,1,30,93.00000000,2024-03-22,0
106,Accessories,D,Winter,Online,Online,1,3,3,266.46,39.03,266.46000000,227.43,0.000000000000,1,0,88.82000000,2020-01-20,0
107,Tops,A,Spring,Central Portugal,Coimbra Boutique,3,11,11,2019.49,641.74,1395.28000000,753.54,0.000000000000,3,10,126.84000000,2022-02-25,11
107,Tops,A,Spring,Online,Online,1,2,2,367.18,116.68,367.18000000,250.50,0.000000000000,1,0,183.59000000,2023-07-16,0
108,Bottoms,B,Summer,Lisbon Metropolitan Area,Lisbon Flagship,1,1,1,29.72,68.80,20.80000000,-48.00,0.000000000000,1,30,20.80000000,2022-12-11,0
110,Tops,D,Summer,Northern Portugal,Porto Center,1,3,3,235.86,67.86,188.69000000,120.83,0.000000000000,1,20,62.90000000,2021-07-09,0
110,Tops,D,Summer,Online,Online,1,4,3,314.48,67.86,212.27000000,144.41,25.000000000000,1,10,70.76000000,2024-05-13,0
112,Tops,B,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,388.24,160.96,388.24000000,227.28,0.000000000000,1,0,97.06000000,2020-09-30,0
116,NULL,C,Spring,Northern Portugal,Porto Center,1,1,1,199.70,13.26,159.76000000,146.50,0.000000000000,1,20,159.76000000,2024-08-13,0
117,Shoes,C,Fall,Online,Online,1,2,2,395.72,150.50,395.72000000,245.22,0.000000000000,1,0,197.86000000,2023-05-20,0
120,Shoes,A,Spring,Lisbon Metropolitan Area,Lisbon Flagship,1,2,2,85.46,95.60,76.91000000,-18.69,0.000000000000,1,10,38.46000000,2021-11-22,0
121,Shoes,B,Spring,Online,Online,2,5,5,867.55,175.90,347.02000000,171.12,0.000000000000,2,0,69.40000000,2022-06-29,6
122,Bottoms,C,Summer,Algarve,Faro Outlet,0,2,2,26.12,134.70,26.12000000,-108.58,0.000000000000,1,0,13.06000000,2022-07-31,0
122,Bottoms,C,Summer,Central Portugal,Coimbra Boutique,1,2,2,26.12,134.70,26.12000000,-108.58,0.000000000000,1,0,13.06000000,2022-02-21,0
123,Accessories,D,Winter,Central Portugal,Coimbra Boutique,2,8,8,430.96,395.76,430.96000000,35.20,0.000000000000,2,0,53.87000000,2023-09-11,36
125,Dresses,C,Winter,Algarve,Faro Outlet,1,2,2,39.94,115.72,39.94000000,-75.78,0.000000000000,1,0,19.97000000,2024-10-22,0
129,Accessories,D,Fall,Central Portugal,Coimbra Boutique,1,2,2,221.64,93.26,199.48000000,106.22,0.000000000000,1,10,99.74000000,2024-05-27,0
129,Accessories,D,Fall,Northern Portugal,Porto Center,1,3,3,332.46,139.89,332.46000000,192.57,0.000000000000,1,0,110.82000000,2020-06-01,0
130,Accessories,D,Winter,Algarve,Faro Outlet,2,2,2,379.04,10.22,360.09000000,349.87,0.000000000000,2,10,180.04000000,2021-12-31,23
131,Tops,D,Fall,Northern Portugal,Porto Center,1,1,0,136.99,0.00,0.00000000,0.00,100.000000000000,1,20,NULL,2021-12-17,0
132,Accessories,C,Summer,Central Portugal,Coimbra Boutique,2,7,7,95.13,364.42,95.13000000,-269.29,0.000000000000,2,0,13.59000000,2022-04-16,3
132,Accessories,C,Summer,Northern Portugal,Porto Center,1,1,1,13.59,52.06,13.59000000,-38.47,0.000000000000,1,0,13.59000000,2020-03-05,0
133,Bottoms,A,Spring,Online,Online,2,5,5,228.40,176.75,182.72000000,5.97,0.000000000000,2,40,36.54000000,2024-02-27,26
134,Accessories,C,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,583.48,118.68,408.44000000,289.76,0.000000000000,1,30,102.11000000,2022-04-08,0
134,Accessories,C,Fall,Northern Portugal,Porto Center,1,4,4,583.48,118.68,466.78000000,348.10,0.000000000000,1,20,116.70000000,2023-09-12,0
135,Tops,B,Summer,Online,Online,1,4,4,550.60,36.88,550.60000000,513.72,0.000000000000,1,0,137.65000000,2024-07-01,0
136,Tops,B,Summer,Northern Portugal,Porto Center,1,1,0,31.03,0.00,0.00000000,0.00,100.000000000000,1,0,NULL,2021-05-05,0
136,Tops,B,Summer,Online,Online,1,2,2,62.06,137.04,62.06000000,-74.98,0.000000000000,1,0,31.03000000,2024-11-28,0
137,Bottoms,A,Summer,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,179.96,24.48,179.96000000,155.48,0.000000000000,1,0,44.99000000,2023-04-24,0
138,Shoes,A,Summer,Northern Portugal,Porto Center,1,4,4,776.92,131.24,776.92000000,645.68,0.000000000000,1,0,194.23000000,2020-01-14,0
140,Accessories,B,Winter,Central Portugal,Coimbra Boutique,1,1,0,30.96,0.00,0.00000000,0.00,100.000000000000,1,0,NULL,2022-07-29,0
140,Accessories,B,Winter,Lisbon Metropolitan Area,Lisbon Flagship,1,2,1,61.92,11.94,30.96000000,19.02,50.000000000000,1,0,30.96000000,2020-10-09,0
145,Bottoms,D,Spring,Online,Online,1,4,4,83.32,266.36,83.32000000,-183.04,0.000000000000,1,0,20.83000000,2023-12-13,0
147,Bottoms,D,Winter,Lisbon Metropolitan Area,Lisbon Flagship,0,4,4,549.64,163.96,549.64000000,385.68,0.000000000000,1,0,137.41000000,2021-08-11,0
148,Tops,D,Spring,Lisbon Metropolitan Area,Lisbon Flagship,1,2,2,309.48,19.76,309.48000000,289.72,0.000000000000,1,0,154.74000000,2022-09-18,0
149,Shoes,B,Spring,Online,Online,1,4,4,685.48,53.04,616.93000000,563.89,0.000000000000,1,10,154.23000000,2023-09-20,0
150,Bottoms,A,Winter,Lisbon Metropolitan Area,Lisbon Flagship,1,2,2,208.52,145.10,208.52000000,63.42,0.000000000000,1,0,104.26000000,2021-09-10,0
151,Dresses,B,Spring,Northern Portugal,Porto Center,0,1,1,105.97,41.11,105.97000000,64.86,0.000000000000,1,0,105.97000000,2023-12-31,0
151,Dresses,B,Spring,Online,Online,1,3,2,317.91,82.22,211.94000000,129.72,33.330000000000,1,0,105.97000000,2023-10-08,0
152,Dresses,A,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,60.20,96.40,54.18000000,-42.22,0.000000000000,1,10,13.55000000,2022-07-01,0
155,Tops,D,Summer,Central Portugal,Coimbra Boutique,0,4,4,203.96,266.16,203.96000000,-62.20,0.000000000000,1,0,50.99000000,2020-03-10,0
156,Dresses,B,Summer,Central Portugal,Coimbra Boutique,1,3,3,266.25,88.11,266.25000000,178.14,0.000000000000,1,0,88.75000000,2023-02-11,0
156,Dresses,B,Summer,Online,Online,1,4,4,355.00,117.48,355.00000000,237.52,0.000000000000,1,0,88.75000000,2024-12-08,0
157,Bottoms,A,Spring,Lisbon Metropolitan Area,Lisbon Flagship,1,2,2,222.30,22.86,NULL,NULL,0.000000000000,1,NULL,NULL,2021-12-03,0
158,Accessories,B,Winter,Northern Portugal,Porto Center,1,4,4,646.36,210.88,646.36000000,435.48,0.000000000000,1,0,161.59000000,2024-02-19,0
161,Tops,D,Fall,Northern Portugal,Porto Center,1,1,1,160.75,64.99,160.75000000,95.76,0.000000000000,1,0,160.75000000,2020-02-14,0
162,Dresses,C,Summer,Central Portugal,Coimbra Boutique,1,4,4,393.84,247.24,393.84000000,146.60,0.000000000000,1,0,98.46000000,2021-07-17,0
162,Dresses,C,Summer,Northern Portugal,Porto Center,1,1,1,98.46,61.81,88.61000000,26.80,0.000000000000,1,10,88.61000000,2023-06-28,0
162,Dresses,C,Summer,Online,Online,1,4,4,393.84,247.24,315.07000000,67.83,0.000000000000,1,20,78.77000000,2020-04-09,0
163,Accessories,C,Winter,Central Portugal,Coimbra Boutique,1,2,2,361.16,124.74,361.16000000,236.42,0.000000000000,1,0,180.58000000,2021-02-24,0
164,Dresses,A,Fall,Central Portugal,Coimbra Boutique,1,1,1,145.08,27.26,130.57000000,103.31,0.000000000000,1,10,130.57000000,2024-02-09,0
165,Tops,B,Spring,Algarve,Faro Outlet,1,3,3,217.86,106.86,217.86000000,111.00,0.000000000000,1,0,72.62000000,2020-08-18,0
168,Tops,B,Winter,Central Portugal,Coimbra Boutique,1,4,4,278.00,245.80,194.60000000,-51.20,0.000000000000,1,30,48.65000000,2023-05-03,0
168,Tops,B,Winter,Northern Portugal,Porto Center,1,2,2,139.00,122.90,139.00000000,16.10,0.000000000000,1,0,69.50000000,2022-01-06,0
169,Dresses,A,Spring,Online,Online,1,2,2,299.60,50.30,299.60000000,249.30,0.000000000000,1,0,149.80000000,2024-09-10,0
170,Bottoms,C,Fall,Central Portugal,Coimbra Boutique,1,2,2,210.08,82.70,210.08000000,127.38,0.000000000000,1,0,105.04000000,2024-09-15,0
170,Bottoms,C,Fall,Online,Online,1,1,1,105.04,41.35,94.54000000,53.19,0.000000000000,1,10,94.54000000,2020-11-13,0
171,Dresses,B,Spring,Algarve,Faro Outlet,1,3,3,132.54,33.75,NULL,NULL,0.000000000000,1,NULL,NULL,2022-12-03,0
171,Dresses,B,Spring,Lisbon Metropolitan Area,Lisbon Flagship,1,4,3,176.72,33.75,132.54000000,98.79,25.000000000000,1,0,44.18000000,2020-08-05,0
172,Dresses,D,Spring,Lisbon Metropolitan Area,Lisbon Flagship,1,3,3,319.80,218.37,319.80000000,101.43,0.000000000000,1,0,106.60000000,2023-05-23,0
172,Dresses,D,Spring,Online,Online,1,1,0,106.60,0.00,0.00000000,0.00,100.000000000000,1,0,NULL,2023-04-18,0
175,Bottoms,A,Summer,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,192.52,260.40,NULL,NULL,0.000000000000,1,NULL,NULL,2023-08-03,0
178,Dresses,B,Fall,Northern Portugal,Porto Center,1,1,1,196.39,33.41,196.39000000,162.98,0.000000000000,1,0,196.39000000,2020-08-18,0
179,Accessories,B,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,719.64,212.36,719.64000000,507.28,0.000000000000,1,0,179.91000000,2021-02-17,0
179,Accessories,B,Fall,Northern Portugal,Porto Center,1,1,1,179.91,53.09,179.91000000,126.82,0.000000000000,1,0,179.91000000,2022-05-15,0
181,Dresses,B,Winter,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,227.48,317.68,181.98000000,-135.70,0.000000000000,1,20,45.50000000,2020-12-05,0
181,Dresses,B,Winter,Northern Portugal,Porto Center,1,3,2,170.61,158.84,102.37000000,-56.47,33.330000000000,1,10,51.18000000,2024-04-22,0
182,Tops,D,Summer,Northern Portugal,Porto Center,1,2,2,174.12,57.00,174.12000000,117.12,0.000000000000,1,0,87.06000000,2022-08-29,0
183,Dresses,D,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,1,0,132.88,0.00,0.00000000,0.00,100.000000000000,1,0,NULL,2024-07-09,0
185,Shoes,C,Summer,Algarve,Faro Outlet,1,2,2,312.08,79.86,312.08000000,232.22,0.000000000000,1,0,156.04000000,2020-11-23,0
185,Shoes,C,Summer,Central Portugal,Coimbra Boutique,1,1,1,156.04,39.93,140.44000000,100.51,0.000000000000,1,10,140.44000000,2024-05-01,0
185,Shoes,C,Summer,Northern Portugal,Porto Center,1,4,4,624.16,159.72,624.16000000,464.44,0.000000000000,1,0,156.04000000,2023-11-28,0
186,Bottoms,C,Summer,Algarve,Faro Outlet,1,2,2,216.56,91.60,216.56000000,124.96,0.000000000000,1,0,108.28000000,2021-04-25,0
188,Dresses,C,Summer,Online,Online,1,4,4,532.28,184.72,425.82000000,241.10,0.000000000000,1,20,106.46000000,2023-06-02,0
189,Dresses,D,Winter,Algarve,Faro Outlet,2,3,2,60.21,53.96,40.14000000,-13.82,33.330000000000,2,0,20.07000000,2023-03-16,24
190,Tops,A,Winter,Algarve,Faro Outlet,1,3,3,485.70,209.58,485.70000000,276.12,0.000000000000,1,0,161.90000000,2020-06-20,0
191,Shoes,A,Spring,Algarve,Faro Outlet,1,4,4,67.20,214.16,60.48000000,-153.68,0.000000000000,1,10,15.12000000,2024-07-26,0
192,Accessories,A,Summer,Algarve,Faro Outlet,1,3,3,426.33,70.74,383.70000000,312.96,0.000000000000,1,10,127.90000000,2024-01-28,0
194,Shoes,C,Spring,Online,Online,1,4,4,81.52,35.80,81.52000000,45.72,0.000000000000,1,0,20.38000000,2021-02-20,0
195,Bottoms,B,Summer,Algarve,Faro Outlet,1,4,4,73.80,100.08,60.89000000,-39.20,0.000000000000,2,30,15.22000000,2024-12-18,57
195,Bottoms,B,Summer,Online,Online,1,3,3,55.35,75.06,55.35000000,-19.71,0.000000000000,1,0,18.45000000,2020-03-03,0
196,Tops,C,Winter,Lisbon Metropolitan Area,Lisbon Flagship,1,4,3,631.04,174.24,NULL,NULL,25.000000000000,1,NULL,NULL,2021-09-25,0
