product_id,category,color,size,season,supplier,cost_price,list_price
40,Shoes,Black,M,Spring,A,19.57,126.93
41,Bottoms,Blue,S,Winter,D,73.33,139.64
42,Dresses,Black,XL,Winter,A,78.89,33.21
43,Bottoms,Blue,M,Winter,A,14.59,143.02
44,Shoes,Green,M,Summer,C,20.89,128.09
45,Shoes,White,M,Fall,D,53.09,69.37
46,Dresses,Blue,XS,Summer,C,62.07,102.84
47,Shoes,Red,XL,Summer,A,57.10,110.61
48,Accessories,Black,S,Spring,D,16.73,145.63
49,Shoes,Black,M,Spring,A,26.25,149.16
50,Bottoms,Blue,L,Winter,C,61.42,112.80
51,Bottoms,Black,XS,Fall,A,18.57,131.39
52,Bottoms,Red,XL,Winter,D,7.50,62.65
53,Bottoms,Green,S,Fall,C,12.96,54.53
54,Accessories,White,M,Fall,D,45.28,63.25
55,Tops,White,L,Summer,C,73.49,79.45
56,Dresses,Black,XS,Fall,C,71.00,161.27
57,Bottoms,Blue,L,Summer,C,44.99,31.53
58,Shoes,Black,L,Summer,B,56.93,65.34
59,Bottoms,Red,XS,Fall,A,32.08,127.53
60,Shoes,Yellow,L,Summer,C,77.17,32.16
61,Shoes,Blue,M,Winter,B,24.44,52.81
62,Bottoms,Green,XS,Fall,D,51.58,149.38
63,Accessories,Red,XL,Spring,C,51.96,43.83
64,Shoes,Green,XS,Summer,D,62.34,58.14
65,Shoes,Blue,S,Winter,A,78.89,15.35
66,Bottoms,Green,M,Summer,D,27.27,40.77
67,Shoes,Red,XL,Fall,A,41.27,44.73
68,Shoes,Red,M,Winter,C,75.14,104.09
69,Bottoms,Black,M,Fall,B,50.51,190.79
70,Bottoms,Yellow,XS,Spring,D,36.81,187.52
71,NULL,Blue,XL,Fall,B,52.49,14.83
72,Accessories,White,XS,Summer,C,35.11,88.19
73,Accessories,Yellow,S,Spring,D,56.60,174.96
74,Shoes,White,S,Spring,D,54.93,107.02
75,Accessories,Green,S,Summer,A,75.28,65.83
76,Shoes,White,XS,Spring,B,18.28,165.99
77,Dresses,White,XS,Spring,C,18.69,128.90
78,Bottoms,Red,S,Summer,C,26.94,197.41
79,Bottoms,Red,XS,Winter,D,61.12,166.75
80,Bottoms,Red,L,Fall,D,43.19,68.02
81,Accessories,White,L,Winter,C,43.58,12.37
82,Dresses,Green,L,Summer,C,62.27,131.71
83,Accessories,Blue,M,Summer,D,67.57,190.05
84,Accessories,Black,XL,Summer,D,45.13,121.32
85,Dresses,Green,XL,Summer,D,5.11,47.63
86,Dresses,Red,XL,Fall,A,30.37,127.65
87,Dresses,Green,S,Winter,B,17.11,138.07
88,Dresses,Blue,L,Winter,B,54.39,93.91
89,Bottoms,Yellow,L,Fall,B,14.24,166.35
90,Tops,Red,XS,Spring,C,6.35,140.06
91,Tops,Blue,M,Summer,C,42.85,82.46
92,Dresses,Yellow,M,Summer,B,68.82,166.61
93,Tops,Black,L,Winter,A,69.26,116.06
94,Tops,Green,XS,Spring,D,62.71,91.53
95,Dresses,Black,L,Fall,A,61.31,82.17
96,Tops,White,S,Winter,C,73.99,73.42
97,Accessories,Green,S,Summer,C,52.12,86.83
98,Shoes,Yellow,XL,Summer,A,24.05,87.38
99,Shoes,White,XL,Summer,B,5.72,13.57
100,Dresses,Blue,L,Summer,B,13.74,24.27
101,Bottoms,White,XL,Winter,A,43.04,136.92
102,Dresses,Yellow,L,Winter,C,29.73,38.26
103,Bottoms,Yellow,M,Fall,D,55.21,31.71
104,Shoes,Blue,S,Winter,B,44.91,70.95
105,Dresses,Black,XS,Spring,A,48.93,132.85
106,Accessories,Red,XS,Winter,D,13.01,88.82
107,Tops,Black,M,Spring,A,58.34,183.59
108,Bottoms,White,L,Summer,B,68.80,29.72
109,Tops,Blue,S,Winter,B,42.08,32.32
110,Tops,White,L,Summer,D,22.62,78.62
111,NULL,Yellow,L,Winter,A,47.54,169.19
112,Tops,Red,M,Fall,B,40.24,97.06
113,Accessories,Green,M,Summer,C,11.14,119.02
114,Tops,Green,XL,Summer,B,54.56,163.63
115,Dresses,Green,M,Summer,B,56.61,117.31
116,NULL,White,XL,Spring,C,13.26,199.70
117,Shoes,Green,XS,Fall,C,75.25,197.86
118,Tops,Blue,XL,Summer,B,59.30,119.47
119,Dresses,Red,XL,Fall,A,44.20,119.48
120,Shoes,Yellow,XS,Spring,A,47.80,42.73
121,Shoes,Black,S,Spring,B,35.18,173.51
122,Bottoms,Yellow,L,Summer,C,67.35,13.06
123,Accessories,Blue,L,Winter,D,49.47,53.87
124,Tops,Red,M,Summer,C,17.87,72.02
125,Dresses,Black,M,Winter,C,57.86,19.97
126,Bottoms,Green,S,Fall,D,45.99,56.05
127,Accessories,Black,M,Summer,A,47.81,192.10
128,Bottoms,White,L,Spring,C,56.69,189.89
129,Accessories,White,XL,Fall,D,46.63,110.82
130,Accessories,Green,XL,Winter,D,5.11,189.52
131,Tops,Green,M,Fall,D,14.42,136.99
132,Accessories,Blue,L,Summer,C,52.06,13.59
133,Bottoms,Blue,XS,Spring,A,35.35,45.68
134,Accessories,Yellow,XS,Fall,C,29.67,145.87
135,Tops,White,XL,Summer,B,9.22,137.65
136,Tops,Red,L,Summer,B,68.52,31.03
137,Bottoms,Blue,XL,Summer,A,6.12,44.99
138,Shoes,Red,L,Summer,A,32.81,194.23
139,Shoes,Yellow,XS,Winter,D,20.29,123.89
140,Accessories,White,M,Winter,B,11.94,30.96
141,Dresses,Blue,S,Winter,C,47.19,91.63
142,Accessories,Red,M,Summer,B,44.98,167.37
143,Bottoms,Yellow,L,Winter,B,76.71,131.88
144,Bottoms,Red,XL,Spring,C,16.39,94.34
145,Bottoms,Blue,XL,Spring,D,66.59,20.83
146,Bottoms,Green,XS,Fall,A,63.05,87.42
147,Bottoms,Yellow,XS,Winter,D,40.99,137.41
148,Tops,Yellow,M,Spring,D,9.88,154.74
149,Shoes,Black,M,Spring,B,13.26,171.37
150,Bottoms,Green,S,Winter,A,72.55,104.26
151,Dresses,Yellow,L,Spring,B,41.11,105.97
152,Dresses,Black,M,Fall,A,24.10,15.05
153,Dresses,Red,M,Winter,C,40.45,67.07
154,Dresses,Blue,XS,Spring,C,61.71,162.19
155,Tops,Yellow,L,Summer,D,66.54,50.99
156,Dresses,White,XS,Summer,B,29.37,88.75
157,Bottoms,Blue,S,Spring,A,11.43,111.15
158,Accessories,Green,M,Winter,B,52.72,161.59
159,Dresses,Black,M,Fall,A,42.97,75.73
160,Tops,Blue,M,Spring,C,10.62,177.02
161,Tops,Black,XL,Fall,D,64.99,160.75
162,Dresses,Green,L,Summer,C,61.81,98.46
163,Accessories,Green,XS,Winter,C,62.37,180.58
164,Dresses,Blue,XS,Fall,A,27.26,145.08
165,Tops,Yellow,XS,Spring,B,35.62,72.62
166,Shoes,White,S,Summer,A,29.83,55.40
167,Bottoms,Yellow,XL,Fall,C,59.18,196.17
168,Tops,White,S,Winter,B,61.45,69.50
169,Dresses,Black,L,Spring,A,25.15,149.80
170,Bottoms,Blue,XS,Fall,C,41.35,105.04
171,Dresses,Red,XS,Spring,B,11.25,44.18
172,Dresses,Green,XS,Spring,D,72.79,106.60
173,Shoes,Yellow,M,Fall,D,67.61,89.13
174,Bottoms,Black,M,Summer,C,61.33,190.29
175,Bottoms,Green,XS,Summer,A,65.10,48.13
176,Shoes,Black,XS,Summer,D,47.96,54.85
177,Tops,Blue,M,Spring,D,74.02,119.41
178,Dresses,Black,S,Fall,B,33.41,196.39
179,Accessories,Black,XL,Fall,B,53.09,179.91
180,Dresses,Red,S,Spring,C,14.32,81.84
181,Dresses,Black,XL,Winter,B,79.42,56.87
182,Tops,White,M,Summer,D,28.50,87.06
183,Dresses,Black,XS,Fall,D,78.45,132.88
184,Shoes,Black,XS,Fall,A,56.23,65.89
185,Shoes,Blue,XS,Summer,C,39.93,156.04
186,Bottoms,Black,S,Summer,C,45.80,108.28
187,Accessories,Red,XS,Summer,B,26.77,86.78
188,Dresses,Blue,XL,Summer,C,46.18,133.07
189,Dresses,Green,XS,Winter,D,26.98,20.07
190,Tops,White,M,Winter,A,69.86,161.90
191,Shoes,White,XS,Spring,A,53.54,16.80
192,Accessories,Green,S,Summer,A,23.58,142.11
193,Bottoms,Black,S,Winter,B,15.53,156.12
194,Shoes,Red,M,Spring,C,8.95,20.38
195,Bottoms,Red,L,Summer,B,25.02,18.45
196,Tops,Red,S,Winter,C,58.08,157.76
197,Tops,Red,L,Summer,B,28.38,76.15
198,Dresses,Black,M,Spring,B,52.77,153.91
199,Accessories,Green,XS,Winter,A,72.15,120.60
200,Bottoms,Green,L,Spring,B,77.93,40.23
201,Shoes,White,M,Summer,D,61.60,165.42
202,Tops,Green,L,Spring,A,54.95,58.64
203,Dresses,Red,L,Fall,D,57.94,75.61
204,Dresses,Black,XS,Summer,B,15.74,55.21
205,Bottoms,Blue,S,Summer,C,59.64,15.21
206,Tops,Blue,L,Spring,B,38.43,147.24
207,Accessories,Red,XL,Summer,C,20.68,110.03
208,Tops,Yellow,XS,Winter,D,9.82,90.63
209,Bottoms,White,XL,Fall,D,38.51,11.40
210,Bottoms,NULL,XS,Summer,B,18.87,100.81
211,Tops,NULL,XS,Fall,D,51.93,54.53
212,Bottoms,Red,S,Summer,C,20.30,120.60
213,Tops,Black,XL,Winter,B,31.71,195.44
214,Shoes,Blue,L,Winter,C,62.65,148.38
215,Tops,Red,XS,Winter,B,63.43,52.27
216,Tops,Blue,XL,Fall,C,11.18,111.85
217,Bottoms,Black,XL,Winter,D,64.73,36.73
218,Bottoms,Green,S,Summer,B,63.50,87.04
219,Dresses,Green,XL,Spring,A,35.10,41.39
220,Dresses,Black,L,Summer,D,45.75,54.89
221,Shoes,Black,XL,Spring,B,76.39,160.38
222,Dresses,Green,S,Summer,C,56.07,97.00
223,Tops,Black,XS,Winter,A,41.23,99.61
224,Bottoms,Black,XL,Fall,A,73.77,80.15
225,Dresses,Black,XL,Fall,A,43.97,80.87
226,Dresses,Green,M,Spring,D,76.99,65.13
227,Shoes,Green,L,Spring,D,19.10,60.49
228,Shoes,NULL,L,Fall,D,9.72,185.07
229,Tops,Blue,L,Summer,C,73.35,196.74
230,NULL,Green,XL,Winter,A,58.26,97.37
231,Shoes,Blue,L,Fall,A,49.21,95.96
232,Dresses,Green,L,Winter,A,72.10,61.11
233,Bottoms,White,M,Fall,A,20.23,138.99
234,Bottoms,Blue,S,Summer,B,5.66,176.38
235,Dresses,Black,S,Winter,A,27.79,146.37
236,Shoes,White,XS,Summer,C,26.16,78.52
237,Dresses,Yellow,M,Winter,C,42.65,31.45
238,Bottoms,Green,XL,Fall,A,37.05,49.50
239,Accessories,Green,XS,Winter,A,8.01,27.12
240,Accessories,Yellow,L,Summer,A,56.77,116.26
241,Tops,White,XS,Spring,C,39.42,191.02
242,Dresses,Red,S,Spring,D,66.26,77.69
243,Dresses,Black,XS,Fall,B,76.99,70.56
244,Tops,Blue,XS,Winter,B,7.31,120.12
245,Tops,White,M,Spring,C,71.98,30.99
246,Tops,Blue,L,Summer,B,31.00,90.15
247,Bottoms,Green,XL,Fall,B,25.69,71.55
248,Dresses,Red,XL,Winter,C,69.07,149.30
249,Bottoms,Yellow,M,Winter,D,38.11,152.15
250,Tops,Red,M,Summer,C,60.18,145.12
251,Dresses,Blue,XL,Fall,C,67.01,100.93
252,Bottoms,Yellow,XS,Summer,D,40.09,172.73
253,Bottoms,Green,L,Winter,B,11.91,175.84
254,Tops,Yellow,XL,Fall,B,12.57,27.21
255,Dresses,Yellow,XS,Winter,C,77.01,178.11
256,Tops,Red,XS,Spring,A,77.63,89.58
257,Dresses,Black,S,Summer,A,22.32,110.61
258,Accessories,Green,M,Summer,B,13.85,22.58
259,Shoes,White,XL,Winter,D,78.11,165.99
260,Shoes,White,XL,Fall,C,59.07,33.65
261,Shoes,White,L,Summer,B,62.57,49.22
262,Tops,Black,XL,Summer,A,28.42,101.47
263,Accessories,Green,XS,Summer,A,5.56,178.02
264,Dresses,Yellow,XS,Fall,A,30.66,87.40
265,Bottoms,Blue,L,Winter,C,18.40,129.66
266,Dresses,Blue,XS,Winter,D,66.77,61.97
267,Bottoms,Green,XS,Fall,C,32.79,40.59
268,Dresses,Black,XL,Winter,C,70.35,60.63
269,Accessories,Green,M,Fall,A,66.28,106.30
270,Bottoms,Blue,XL,Spring,B,56.49,191.70
271,Tops,Green,S,Spring,C,48.45,102.13
272,Dresses,White,L,Summer,A,67.57,16.51
273,Dresses,Yellow,XS,Summer,D,72.39,81.68
274,Bottoms,Green,XL,Fall,B,74.37,88.31
275,Tops,Yellow,XL,Spring,D,59.39,138.27
276,Tops,Red,XS,Summer,A,53.80,183.63
277,Accessories,Green,L,Summer,B,31.08,100.28
278,Tops,Blue,XL,Spring,D,50.37,69.34
279,Tops,Blue,M,Spring,A,67.54,146.54
280,Tops,Yellow,XS,Winter,B,45.07,110.54
281,Shoes,Blue,L,Summer,B,45.66,185.02
282,Accessories,White,S,Winter,B,62.14,51.02
283,Dresses,Blue,XS,Winter,B,50.09,71.37
284,Bottoms,Red,S,Spring,C,34.29,81.11
285,Dresses,Green,XS,Summer,D,36.86,105.21
286,Accessories,Black,XL,Fall,B,29.96,144.87
287,Bottoms,Blue,L,Fall,A,23.29,91.69
288,Accessories,Green,M,Winter,D,25.03,48.99
289,Tops,White,S,Fall,A,25.48,131.74
290,Bottoms,Green,S,Fall,B,54.65,160.69
291,Tops,Blue,XS,Spring,A,76.12,196.76
292,Dresses,Blue,S,Spring,A,68.04,181.65
293,Dresses,Yellow,XS,Summer,B,58.90,44.10
294,Bottoms,Blue,XS,Winter,C,47.13,155.38
295,Bottoms,Red,S,Spring,D,59.85,150.44
296,Accessories,Green,S,Winter,B,12.31,46.71
297,Accessories,Yellow,XL,Spring,D,30.15,78.20
298,Tops,Black,XL,Winter,B,41.36,39.04
299,Bottoms,Red,XL,Winter,C,27.54,196.17
300,Dresses,Black,L,Fall,B,54.04,197.65
301,Accessories,Blue,M,Winter,B,18.39,29.88
302,Accessories,Black,XL,Spring,C,34.28,151.97
303,Dresses,Black,XL,Winter,D,76.28,191.22
304,Accessories,Red,XS,Spring,C,47.16,93.93
305,NULL,Red,M,Spring,A,58.44,129.66
306,Bottoms,Green,S,Fall,B,31.66,124.78
307,Dresses,Black,L,Winter,B,66.15,14.45
308,Bottoms,Red,S,Spring,B,30.53,25.71
309,Accessories,Green,XS,Spring,A,19.68,63.38
310,Accessories,Black,L,Winter,A,36.23,131.43
311,Dresses,Black,XL,Winter,D,22.00,114.17
312,Tops,Yellow,M,Spring,C,55.90,43.05
313,Shoes,NULL,M,Winter,D,12.27,196.89
314,Dresses,Red,XL,Summer,A,58.54,24.08
315,Shoes,NULL,S,Winter,C,72.80,144.61
316,Shoes,Yellow,S,Summer,D,71.23,181.49
317,Tops,Red,XL,Spring,A,60.41,32.55
318,Shoes,Yellow,XL,Fall,B,30.81,171.75
319,Shoes,Blue,M,Spring,B,78.31,162.43
320,Tops,Yellow,S,Winter,B,63.97,17.15
321,Shoes,Yellow,L,Spring,A,75.95,144.17
322,Shoes,Green,L,Winter,D,48.03,92.51
323,Shoes,Red,XS,Summer,B,67.04,61.10
324,Dresses,Black,XS,Winter,D,22.81,118.92
325,Dresses,White,XS,Fall,A,32.60,111.49
326,Dresses,Green,S,Fall,B,54.22,161.66
327,Tops,Red,L,Winter,A,8.98,130.90
328,Accessories,Green,S,Fall,C,15.32,112.85
329,Shoes,Black,XL,Fall,B,77.50,185.67
330,Shoes,Yellow,M,Fall,B,32.62,151.04
331,Tops,White,XS,Spring,D,26.13,96.22
332,Shoes,Black,XL,Winter,A,43.57,89.34
333,Dresses,White,XL,Spring,C,14.47,29.56
334,Accessories,Green,M,Fall,A,21.98,106.68
335,Bottoms,Yellow,L,Summer,C,13.65,74.23
336,Shoes,Yellow,L,Spring,B,10.43,121.00
337,Dresses,Red,XL,Summer,D,33.97,111.23
338,Bottoms,White,M,Winter,A,41.48,194.01
339,Accessories,Black,L,Spring,D,6.43,96.25
340,Bottoms,White,XS,Summer,A,16.70,160.05
341,Dresses,Green,S,Fall,C,57.90,137.25
342,Bottoms,Yellow,M,Spring,D,46.28,105.26
343,Tops,Green,XL,Winter,B,23.76,89.06
344,Bottoms,Green,S,Fall,A,31.60,77.15
345,Shoes,Red,L,Summer,D,16.65,114.91
346,Shoes,Green,L,Fall,B,73.38,48.41
347,Tops,Red,M,Winter,C,72.48,11.30
348,Dresses,Blue,S,Winter,C,45.44,145.88
349,Shoes,White,L,Spring,D,69.12,75.07
350,Accessories,Yellow,M,Fall,D,40.78,193.26
351,Shoes,Yellow,S,Spring,D,65.93,132.43
352,Shoes,Black,XL,Summer,B,48.79,34.04
353,Dresses,Yellow,XL,Summer,D,29.49,96.41
354,Bottoms,Red,L,Spring,A,34.74,158.92
355,Shoes,Yellow,M,Winter,C,9.96,117.98
356,Tops,Red,XS,Fall,C,20.92,55.93
357,Bottoms,Yellow,L,Fall,C,35.04,43.03
358,Accessories,Black,XS,Fall,B,39.23,190.68
359,Dresses,White,S,Spring,C,8.64,46.30
360,Accessories,Green,M,Winter,C,41.60,81.81
361,Bottoms,White,L,Winter,D,69.26,74.78
362,Bottoms,Red,XL,Spring,A,16.55,177.33
363,Bottoms,Green,S,Spring,A,24.59,190.35
364,Accessories,Blue,S,Spring,C,65.52,158.25
365,Bottoms,Black,S,Summer,B,63.25,137.29
366,Accessories,White,XS,Winter,C,29.56,182.64
367,Bottoms,Green,XS,Spring,B,59.66,118.63
368,Tops,Black,S,Winter,B,46.10,88.38
369,Bottoms,White,L,Winter,D,33.45,148.97
370,Accessories,Red,XS,Winter,C,6.83,50.28
371,Shoes,Red,M,Spring,B,38.57,183.30
372,Bottoms,Red,XL,Spring,D,36.68,53.52
373,Shoes,Blue,L,Winter,B,10.37,57.92
374,Tops,Yellow,M,Winter,A,14.55,152.78
375,Dresses,Red,XS,Spring,B,37.71,151.00
376,Tops,Red,XL,Fall,C,6.16,77.68
377,Bottoms,Yellow,S,Winter,D,74.63,150.31
378,Shoes,Red,XL,Summer,B,58.36,189.15
379,Shoes,Green,S,Spring,B,79.51,42.10
380,Accessories,Black,M,Spring,C,20.59,151.48
381,Shoes,Blue,M,Spring,C,25.88,139.04
382,Accessories,White,L,Winter,C,21.30,197.45
383,Dresses,Yellow,M,Summer,C,67.95,116.22
384,Bottoms,Yellow,XS,Winter,A,29.54,111.90
385,Accessories,Yellow,XS,Summer,A,8.33,45.81
386,Dresses,Blue,XL,Summer,B,31.97,66.84
387,Shoes,Black,S,Spring,C,36.94,91.54
388,Shoes,Red,XL,Fall,B,34.45,74.74
389,Dresses,Yellow,L,Fall,D,66.91,27.44
390,Shoes,Red,L,Fall,A,76.40,176.70
391,Dresses,White,XS,Summer,B,48.64,16.05
392,Accessories,Yellow,L,Winter,C,50.54,87.04
393,Accessories,Blue,XS,Fall,B,25.49,93.97
394,Dresses,Blue,S,Winter,C,69.91,56.52
395,Accessories,NULL,XL,Winter,D,23.53,30.37
396,Accessories,Blue,L,Winter,D,15.76,126.77
397,Accessories,Blue,S,Summer,C,60.24,98.92
398,Tops,Blue,L,Winter,B,60.61,68.65
399,Bottoms,Yellow,M,Fall,A,57.18,198.36
400,Shoes,White,L,Fall,C,60.23,154.52
401,Tops,Yellow,S,Spring,B,66.08,194.12
402,Accessories,White,L,Spring,C,72.31,125.63
403,Dresses,Black,M,Fall,C,7.54,131.95
404,Accessories,Blue,L,Spring,C,53.99,110.61
405,Bottoms,Black,S,Spring,A,27.10,184.11
406,Accessories,Green,XS,Spring,D,48.61,61.12
407,Dresses,Green,S,Spring,B,69.36,170.63
408,Bottoms,Blue,XS,Winter,A,60.25,78.27
409,Accessories,Red,XS,Fall,A,19.61,191.51
410,Bottoms,Green,XL,Spring,B,48.01,44.83
411,Shoes,Red,S,Spring,C,17.82,109.60
412,Shoes,Black,XL,Spring,D,23.40,124.68
413,Accessories,Blue,XS,Summer,C,35.23,136.22
414,Bottoms,Black,L,Spring,D,51.06,81.95
415,Dresses,Yellow,XS,Winter,C,45.28,75.63
416,Accessories,Black,S,Summer,B,28.47,140.56
417,Shoes,White,S,Fall,B,66.81,160.96
418,Shoes,Blue,S,Spring,B,60.30,81.69
419,Accessories,White,S,Spring,B,33.42,77.76
420,Bottoms,Black,L,Summer,A,43.50,140.30
421,Shoes,Red,XL,Fall,B,17.01,42.39
422,Bottoms,Blue,M,Summer,A,72.38,11.74
423,Shoes,Blue,XL,Summer,B,38.49,63.55
424,Shoes,Green,XS,Spring,B,63.17,87.32
425,Tops,Red,S,Spring,D,25.84,116.62
426,Shoes,Yellow,S,Spring,B,61.55,168.97
427,Dresses,Red,M,Winter,B,13.50,74.38
428,Accessories,NULL,XL,Spring,C,19.01,182.93
429,Accessories,Black,XS,Winter,A,27.53,113.71
430,Bottoms,Black,S,Summer,A,69.87,14.44
431,Shoes,Green,M,Winter,B,75.50,175.54
432,Dresses,Red,M,Winter,C,47.00,146.37
433,Bottoms,White,XS,Fall,A,57.30,129.63
434,Tops,Red,M,Fall,B,20.68,147.64
435,Bottoms,White,M,Fall,A,60.50,99.23
436,Bottoms,Blue,XL,Spring,D,64.16,166.50
437,Shoes,White,S,Spring,C,59.63,61.00
438,Tops,Blue,XL,Summer,A,33.36,157.38
439,Bottoms,Yellow,M,Fall,A,29.06,184.16
440,Dresses,Yellow,L,Winter,B,52.79,96.69
441,Dresses,Black,XS,Spring,D,55.46,132.16
442,Accessories,Red,M,Spring,A,47.51,124.91
443,Tops,Black,M,Winter,D,8.69,13.80
444,Tops,Red,XL,Fall,B,47.03,171.50
445,Accessories,White,XS,Summer,C,28.61,68.38
446,Bottoms,Red,S,Fall,D,23.50,103.88
447,Tops,White,XS,Spring,C,78.73,197.02
448,Dresses,Red,M,Spring,C,79.28,120.58
449,Dresses,Blue,XL,Spring,A,5.94,78.07
450,Shoes,White,L,Spring,B,62.21,146.67
451,Tops,Black,M,Summer,C,56.91,178.03
452,Bottoms,Black,XS,Spring,B,27.70,137.60
453,Accessories,Black,XS,Summer,D,53.70,146.66
454,Accessories,Black,L,Winter,A,38.69,139.78
455,Bottoms,Blue,XS,Fall,A,22.09,92.35
456,Shoes,Blue,XS,Spring,A,40.03,116.18
457,Accessories,Green,XL,Spring,A,24.38,45.28
458,Tops,Green,XS,Spring,D,15.26,125.61
459,Shoes,Green,S,Fall,C,78.38,182.75
460,Tops,Yellow,L,Fall,C,37.78,172.92
461,Dresses,Green,M,Summer,C,13.71,86.51
462,Shoes,Red,L,Summer,B,56.00,173.30
463,Accessories,Yellow,M,Spring,B,18.86,64.41
464,Shoes,White,XL,Fall,C,38.41,170.87
465,Shoes,Black,XS,Spring,D,61.79,179.52
466,Shoes,Red,M,Summer,B,27.27,197.66
467,Shoes,Yellow,M,Spring,D,67.95,12.36
468,Tops,Blue,XL,Spring,D,26.28,95.58
469,Dresses,Black,L,Winter,A,20.29,27.04
470,Bottoms,White,L,Summer,D,29.14,183.92
471,Shoes,White,L,Summer,D,15.01,33.77
472,Accessories,Blue,XS,Spring,C,66.13,136.13
473,Shoes,Black,XL,Spring,C,59.41,95.86
474,Accessories,Green,M,Winter,C,50.27,67.54
475,Tops,Black,L,Fall,A,11.39,105.79
476,Accessories,Black,L,Fall,B,5.31,95.64
477,Bottoms,White,L,Spring,C,79.21,129.00
478,Dresses,Blue,S,Fall,D,71.75,191.78
479,Accessories,Black,XS,Winter,D,33.99,194.85
480,Accessories,Red,L,Winter,D,72.06,100.47
481,Dresses,Red,S,Fall,C,18.88,20.54
482,Bottoms,Blue,XL,Summer,B,69.00,145.40
483,Shoes,Green,M,Summer,B,65.89,35.36
484,Accessories,Yellow,L,Spring,B,75.87,148.94
485,Dresses,Black,XS,Winter,C,73.85,142.05
486,Tops,Yellow,L,Summer,D,75.16,130.11
487,Dresses,Black,XS,Winter,B,28.98,124.06
488,Tops,White,S,Summer,A,41.47,23.49
489,Bottoms,Black,XS,Summer,D,29.11,53.99
490,Shoes,Yellow,XL,Spring,A,41.82,170.73
491,Dresses,Green,XS,Summer,C,73.62,103.98
492,Accessories,Black,M,Summer,D,61.96,157.57
493,Bottoms,Black,S,Winter,D,19.79,25.00
494,Dresses,White,XS,Winter,C,60.82,152.34
495,Accessories,Red,L,Summer,B,49.45,125.77
496,Dresses,Red,XL,Winter,A,25.24,125.32
497,Tops,Green,M,Fall,A,67.25,108.74
498,Dresses,Blue,XS,Summer,C,72.62,20.13
499,Dresses,Blue,XS,Fall,B,36.49,51.17
500,Dresses,White,M,Summer,D,5.78,113.94
501,Bottoms,Yellow,M,Spring,A,8.33,87.33
502,Dresses,Yellow,XS,Winter,C,65.18,80.46
503,Accessories,Black,L,Fall,A,7.37,188.76
504,Tops,White,L,Spring,B,26.64,85.50
505,Tops,NULL,L,Spring,C,56.08,153.39
506,Dresses,Red,XS,Fall,A,35.82,58.64
507,Bottoms,Green,S,Summer,C,37.37,22.67
508,Bottoms,Blue,XS,Spring,C,55.25,122.99
509,Accessories,Black,S,Winter,A,15.21,79.43
510,Dresses,Blue,L,Spring,B,58.86,149.33
511,Tops,Red,XS,Spring,B,20.87,194.83
512,Bottoms,Black,L,Spring,C,32.06,143.45
513,Dresses,Red,XS,Spring,A,54.53,62.38
514,Bottoms,Blue,L,Fall,A,30.30,169.89
515,Bottoms,Blue,M,Winter,A,18.47,189.22
516,Tops,Red,XS,Fall,B,24.92,135.35
517,Shoes,Black,S,Spring,D,15.28,24.20
518,Accessories,Red,L,Fall,D,51.21,183.56
519,Accessories,Black,XL,Fall,A,39.96,129.80
520,Tops,White,S,Summer,C,28.44,71.45
